Date,Feedback,Product,Subcategory,Feedback Category,Sentiment,Sentiment Score,Source
,"Please elaborate on why you have selected DBS home loan.Please do not provide any sensitive personal information, including login passwords or one-time passwords. Service was very good",,Mortgage/Home Loan,,,,
,"Please elaborate on why you have selected DBS home loan.Please do not provide any sensitive personal information, including login passwords or one-time passwords. The time taken was prompt especially when the officer first reached out some time before the loan even ended",,Mortgage/Home Loan,,,,
,"Please elaborate on why you have selected [QID4-ChoiceGroup-SelectedChoices].Please do not provide any sensitive personal information, including login passwords or one-time passwords. I am a Treasures customer but still need to pay annual fees. My other bank cards do not require me to pay annual charges.
 (credit card)",,Others,,,,
,"(Optional) Please tell us more about the Renovation Loan  problem that you had faced so that we can work to improve our services.

(Please do not provide any sensitive personal information, including login passwords or one-time passwords.) not sure when the loan deduction will be altho stated 1st of the month. but giro deduction not done for 1st payment. would prefer both email and hardcopy letter to inform that the loan has been approved so ID could proceed to submit whatever document needed for approval.",,Renovation Loan,,,,
,"Why are you MORE satisfied with DBS Life Insurance than [Field-Competitor_Bank]'s Life Insurance?

(Please do not provide any sensitive personal information, including login passwords or one-time passwords.) Range of options available",,Life Insurance,,,,
,"Why are you LESS satisfied with [Field-IN_Text]DBS[Field-Personal_Loan_Question_Text] personal loan than [Field-Competitor_Bank]'s personal loan / facilities?

(Please do not provide any sensitive personal information, including login passwords or one-time passwords.) The interest rate",,Personal Loan,,,,
,The Interest rate for personal loans are very high compared to OCBC,,Personal Loan,,,,
,Its so difficult to find my cashline!,,CashLine,,,,
,Online forum discussion about account features related matter and comparison with other banks,,DBS Deposit Account,,,,
,"DBS Treasures Please elaborate on why you have selected [QID4-ChoiceGroup-SelectedChoices].Please do not provide any sensitive personal information, such as NRIC / Passport no., contact no. or login passwords. The mobile banking is a breeze to use! Every time I visit the Treasures Centre I’ve always been attended to promptly. And my RM Jonathan Leong has been amazing, astute and always has my interests at heart for which I am very thankful and appreciative!",,Treasures Relationship Manager (RM),,,,
,"DBS Treasures Please elaborate on why you have selected [QID4-ChoiceGroup-SelectedChoices].Please do not provide any sensitive personal information, such as NRIC / Passport no., contact no. or login passwords. Ease of access and placing trades",,DBS Treasures (General),,,,
,"Please elaborate on why you have selected [QID4-ChoiceGroup-SelectedChoices].

Please do not provide any sensitive personal information, including login passwords or one-time passwords. I feel we safe on using DBS banking. I use to send money to my home country.. money receive my bank account on the same day on my transfer. Easy on checking my bank balance and the app is so user friendly (overseas fund transfer remittance)",,Overseas Transfer,,,,
,Great Service,,Others,,,,
,Easy to use,,Others,,,,
,Good App,,Others,,,,
,App not good,,DigiBank App,,,,
,"Why is it that the paynow function reveals how much cash i have in the screen while i am doing the payment?  1. There are so many customers standing  behind me while i am doing the payment.  2. The paynow QR was placed on the wall. As i am paying, the barber was walking behind me. Making me wonder if she strategically put it there.  3. Overall, it always makes me hesitate and think twice before using that function.  4. Isnt it awkward that i have to keep turning around to prevent people from looking into my screen?",,PayNow,,,,
," Improve on the Automated services and stop imposing fees n charges at every opportunity.
Improve on the mobile and internet interfaces and connection problems.",,Others,,,,
,continue education the older folks to digital banking and scams,,DigiBank App,,,,
,"Sat closing timing for branches if can be longer will be good, cos not much branches nowadays, and some branch like bedok : atm and branch queuing time both take long time. I tried bukit batok branch, its take shorter time and fast. I stay in bedok and need travel to go another branch to get better service.",,DBS Branches/Staff,,,,
,Personally banking interest rates are not as attractive as other banks in Singapore.,,DBS Deposit Account,,,,
,"The app is very poor and dated, even the pin entry keyboard is non standard and buggy. You should really be 100% native like the main banking app.  

I want a super simple view on how my stocks are performing % and $ based on the original purchase price. 

I find it really amazing that the only way to make such a fundamental view is with a custom made custom portfolio.",,Non-Unit Trust / Equities,,,,
,"""Non-Unit Trust/Equities: Please elaborate on why you have selected [QID4-ChoiceGroup-SelectedChoices].
Please do not provide any sensitive personal information, including login passwords or one-time passwords.: Very competitive rates.""",,Non-Unit Trust/Equities,,,,
,"I can change RSP and find different UT and select different amount all within the app, very easy to navigate and use",,Unit Trust,,,,
